0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:31 +0900] "GET /good/heeyeon/images/logo.svg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:31 +0900] "GET /good/heeyeon/assets/img/avatar/avatar-2.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:31 +0900] "GET /good/heeyeon/assets/img/avatar/avatar-3.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:31 +0900] "GET /good/heeyeon/assets/img/avatar/avatar-5.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:31 +0900] "GET /images/body-bg.svg HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:32 +0900] "GET /good/heeyeon/test.jsp HTTP/1.1" 200 43394
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:32 +0900] "GET /good/heeyeon/images/logo.svg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:32 +0900] "GET /good/heeyeon/assets/img/products/product-3-50.png HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:32 +0900] "GET /good/heeyeon/assets/img/products/product-2-50.png HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:32 +0900] "GET /good/heeyeon/assets/img/avatar/avatar-3.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:32 +0900] "GET /good/heeyeon/assets/img/avatar/avatar-2.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:32 +0900] "GET /good/heeyeon/assets/img/avatar/avatar-1.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:32 +0900] "GET /good/heeyeon/assets/img/avatar/avatar-5.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:32 +0900] "GET /good/heeyeon/assets/img/avatar/avatar-4.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:32 +0900] "GET /good/heeyeon/assets/img/products/product-1-50.png HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:09:32 +0900] "GET /good/heeyeon/images/logo.svg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [26/Apr/2024:12:10:28 +0900] "GET /good/heeyeon/test.jsp HTTP/1.1" 200 39427
